year,value,product_general,unit,flow,dataset,product_detailed,dataset_product
2018,0,cashew,1000 t,imports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
2018,.3910000026226044,cashew,1 million USD,imports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
2018,1.501280069351196,cashew,1000 t,exports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
2018,2.249000072479248,cashew,1 million USD,exports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
2019,.1458999961614609,cashew,1000 t,imports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
2019,.1190000027418137,cashew,1 million USD,imports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
2019,3.261559963226318,cashew,1000 t,exports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
2019,6.455999851226807,cashew,1 million USD,exports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
2020,.2301599979400635,cashew,1000 t,imports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
2020,.1889999955892563,cashew,1 million USD,imports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
2020,4.187250137329102,cashew,1000 t,exports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
2020,7.21999979019165,cashew,1 million USD,exports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
2021,0,cashew,1000 t,imports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
2021,0,cashew,1 million USD,imports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
2021,1.529530048370361,cashew,1000 t,exports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
2021,2.410000085830688,cashew,1 million USD,exports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
2022,.0004199999966659,cashew,1000 t,imports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
2022,.0040000001899898,cashew,1 million USD,imports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
